Block_Group,FIPS_Code,Formatted_FIPS,Probability that two individuals chosen at random would be of di
"421010353013, PA",421010353013,421010353013,22.14
"421010287001, PA",421010287001,421010287001,40.14
"421010060002, PA",421010060002,421010060002,65.26
"421010133001, PA",421010133001,421010133001,66.18
"421010292003, PA",421010292003,421010292003,61.48
"421010192004, PA",421010192004,421010192004,48.87
"421010006001, PA",421010006001,421010006001,49.9
"421010306007, PA",421010306007,421010306007,69.11
"421010317002, PA",421010317002,421010317002,67.03
"421010271001, PA",421010271001,421010271001,36.72
"421010314021, PA",421010314021,421010314021,70.61
"421010121001, PA",421010121001,421010121001,57.26
"421010348033, PA",421010348033,421010348033,52.66
"421010066004, PA",421010066004,421010066004,55.83
"421010341006, PA",421010341006,421010341006,37.07
"421010310007, PA",421010310007,421010310007,66.33
"421010103001, PA",421010103001,421010103001,11.38
"421010287002, PA",421010287002,421010287002,52.36
"421010122012, PA",421010122012,421010122012,65.79
"421010191001, PA",421010191001,421010191001,53.39
"421010192002, PA",421010192002,421010192002,59.19
"421010215001, PA",421010215001,421010215001,8.07
"421010125002, PA",421010125002,421010125002,46.59
"421010119004, PA",421010119004,421010119004,25.71
"421010305024, PA",421010305024,421010305024,59.66
"421010015002, PA",421010015002,421010015002,62.51
"421010307002, PA",421010307002,421010307002,56.05
"421010244003, PA",421010244003,421010244003,18.46
"421010176013, PA",421010176013,421010176013,36.19
"421010261003, PA",421010261003,421010261003,2.31
"421010163002, PA",421010163002,421010163002,1.76
"421010104003, PA",421010104003,421010104003,11.16
"421010314022, PA",421010314022,421010314022,70.65
"421010281002, PA",421010281002,421010281002,2.51
"421010070003, PA",421010070003,421010070003,11.59
"421010195021, PA",421010195021,421010195021,1.49
"421010036002, PA",421010036002,421010036002,36.29
"421010218003, PA",421010218003,421010218003,76
"421010316007, PA",421010316007,421010316007,68.81
"421010246002, PA",421010246002,421010246002,8.67
"421010077002, PA",421010077002,421010077002,66.1
"421010301004, PA",421010301004,421010301004,54.99
"421010345011, PA",421010345011,421010345011,61.15
"421010074004, PA",421010074004,421010074004,20.66
"421010214005, PA",421010214005,421010214005,30.39
"421010240004, PA",421010240004,421010240004,63.55
"421010108001, PA",421010108001,421010108001,0
"421010020001, PA",421010020001,421010020001,52.76
"421010282001, PA",421010282001,421010282001,31.88
"421010312003, PA",421010312003,421010312003,67.18
"421010083022, PA",421010083022,421010083022,30.47
"421010212002, PA",421010212002,421010212002,37.3
"421010175006, PA",421010175006,421010175006,35.37
"421010276004, PA",421010276004,421010276004,15.07
"421010242001, PA",421010242001,421010242001,50.28
"421010383002, PA",421010383002,421010383002,34.22
"421010077001, PA",421010077001,421010077001,69.17
"421010310006, PA",421010310006,421010310006,51.83
"421010268002, PA",421010268002,421010268002,42.2
"421010284003, PA",421010284003,421010284003,47.84
"421010098021, PA",421010098021,421010098021,25.18
"421010108003, PA",421010108003,421010108003,41.43
"421010284004, PA",421010284004,421010284004,45.94
"421010036004, PA",421010036004,421010036004,33.4
"421010320001, PA",421010320001,421010320001,21.35
"421010090003, PA",421010090003,421010090003,67.57
"421010265002, PA",421010265002,421010265002,7.29
"421010315012, PA",421010315012,421010315012,36.12
"421010325002, PA",421010325002,421010325002,59.14
"421010388003, PA",421010388003,421010388003,60.17
"421010118005, PA",421010118005,421010118005,24.84
"421010271003, PA",421010271003,421010271003,62.44
"421010247004, PA",421010247004,421010247004,42.24
"421010092002, PA",421010092002,421010092002,56.92
"421010167023, PA",421010167023,421010167023,0
"421010264005, PA",421010264005,421010264005,16.1
"421010073004, PA",421010073004,421010073004,24.01
"421010169024, PA",421010169024,421010169024,19.58
"421010269001, PA",421010269001,421010269001,54.23
"421010106002, PA",421010106002,421010106002,7.07
"421010268003, PA",421010268003,421010268003,20.02
"421010300006, PA",421010300006,421010300006,48.04
"421010169023, PA",421010169023,421010169023,9.89
"421010012011, PA",421010012011,421010012011,31.8
"421010138001, PA",421010138001,421010138001,38.51
"421010305011, PA",421010305011,421010305011,66.4
"421010069002, PA",421010069002,421010069002,15.96
"421010119003, PA",421010119003,421010119003,0
"421010245004, PA",421010245004,421010245004,29.75
"421010255001, PA",421010255001,421010255001,61.21
"421010113001, PA",421010113001,421010113001,1.37
"421010168001, PA",421010168001,421010168001,1.21
"421010164004, PA",421010164004,421010164004,52.71
"421010072006, PA",421010072006,421010072006,31.7
"421010111004, PA",421010111004,421010111004,2.92
"421010021002, PA",421010021002,421010021002,50.28
"421010276003, PA",421010276003,421010276003,14.08
"421010175001, PA",421010175001,421010175001,46.75
"421010240001, PA",421010240001,421010240001,61.11
"421010329005, PA",421010329005,421010329005,33.99
"421010279021, PA",421010279021,421010279021,44.24
"421010329004, PA",421010329004,421010329004,35.28
"421010257003, PA",421010257003,421010257003,55.52
"421010039024, PA",421010039024,421010039024,12.18
"421010169022, PA",421010169022,421010169022,0
"421010300001, PA",421010300001,421010300001,70.23
"421010014003, PA",421010014003,421010014003,58.23
"421010278001, PA",421010278001,421010278001,16.96
"421010277001, PA",421010277001,421010277001,48.25
"421010180023, PA",421010180023,421010180023,4.07
"421010263023, PA",421010263023,421010263023,0
"421010202004, PA",421010202004,421010202004,23.35
"421010169011, PA",421010169011,421010169011,8.52
"421010201013, PA",421010201013,421010201013,6.78
"421010275003, PA",421010275003,421010275003,66.88
"421010132001, PA",421010132001,421010132001,55.79
"421010042021, PA",421010042021,421010042021,17.06
"421010164003, PA",421010164003,421010164003,57.87
"421010169012, PA",421010169012,421010169012,5.04
"421010027021, PA",421010027021,421010027021,40.57
"421010110001, PA",421010110001,421010110001,38.01
"421010288001, PA",421010288001,421010288001,31.12
"421010261002, PA",421010261002,421010261002,19.95
"421010114005, PA",421010114005,421010114005,4.86
"421010023002, PA",421010023002,421010023002,44.8
"421010244002, PA",421010244002,421010244002,32.57
"421010080004, PA",421010080004,421010080004,38.13
"421010007002, PA",421010007002,421010007002,60.87
"421010252001, PA",421010252001,421010252001,53.95
"421010032004, PA",421010032004,421010032004,8.84
"421010164001, PA",421010164001,421010164001,45.66
"421010178005, PA",421010178005,421010178005,39.53
"421010264001, PA",421010264001,421010264001,7.69
"421010345021, PA",421010345021,421010345021,52.98
